epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
15,2150,-0.12795649468898773,0.0,0.0,-0.0005434703780338168,-0.15660345554351807,0.7641689777374268,0.0,0.745690643787384,False,0.025371156632900238,0.020630601793527603,5.302112102508545,0.0,5302112102508.545,0.0,0.0,False,1.1062879386451212,0.0
15,2200,0.33992698788642883,0.0,0.0,0.41078001260757446,-0.385641485452652,0.33588626980781555,0.0,0.4628968834877014,False,0.013650147244334221,0.028612053021788597,0.052199240773916245,0.0,52199240773.916245,0.0,0.0,False,0.9896714853885701,0.0
16,2250,0.043214697390794754,0.0,0.0,-0.03620517998933792,0.39437174797058105,14.461614608764648,0.0,14.513081550598145,True,0.017789233475923538,0.006007767282426357,8.138570785522461,0.0,8138570785522.461,0.0,0.0,False,1.0451461075286401,0.0
16,2300,0.9009507298469543,0.0,0.0,0.8721601366996765,-0.5214497447013855,0.8285061717033386,0.0,2.672403335571289,True,0.11890386044979095,0.07159794867038727,0.04370454326272011,0.0,43704543262.72011,0.0,0.0,False,1.0042824573738214,0.0
17,2350,-0.42050427198410034,0.0,0.0,0.7625521421432495,0.6114447712898254,3.1637327671051025,0.0,3.2657196521759033,True,0.006078869104385376,0.0011016435455530882,3.135418653488159,0.0,3135418653488.159,0.0,0.0,False,0.8892667868530456,0.0
17,2400,0.11994513124227524,0.0,0.0,-0.11649668961763382,-0.2106747329235077,0.9586307406425476,0.0,0.9536380767822266,False,0.012483041733503342,0.023204661905765533,0.41794195771217346,0.0,417941957712.17346,0.0,0.0,False,0.8652207247345274,0.0
17,2450,-0.6396206021308899,0.0,0.0,0.2624962329864502,0.261366605758667,1.4868645668029785,0.0,1.2733055353164673,True,0.3388110101222992,0.45703619718551636,4.461311340332031,0.0,4461311340332.031,0.0,0.0,False,0.9182470277070837,0.0
18,2500,-0.31680190563201904,0.0,0.0,0.19644494354724884,0.1321374475955963,0.36996951699256897,0.0,0.5635977983474731,False,0.12153403460979462,0.49558931589126587,0.08882395178079605,0.0,88823951780.79605,0.0,0.0,False,0.9102908029701643,0.0
18,2550,-0.3517919182777405,0.0,0.0,-0.6603872179985046,0.19470347464084625,1.8814195394515991,0.0,1.7724412679672241,True,0.2337333858013153,0.07648049294948578,3.886535882949829,0.0,3886535882949.829,0.0,0.0,False,0.91317319344457,0.0
18,2600,0.3405299782752991,0.0,0.0,0.31783702969551086,-0.41712215542793274,0.5422384142875671,0.0,0.580970287322998,False,0.008672792464494705,0.009709140285849571,0.059846192598342896,0.0,59846192598.342896,0.0,0.0,False,0.7693893502790867,0.0
